RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2713.6000400274793,2739.385877154749,2762.8696375483346,2785.5250957522626,2800.160007263802,2814.5904851784944,2826.0793822882606,2829.251757873375,2817.5772960300646,2803.147446807847,2789.9417093430834,2792.283392543311,2798.355835456212,2810.5389393405753,2823.398950052573,2840.1965841086135,2856.8606487159564,2867.588099223418,2870.0760864416184,2861.3964335230835,2847.0447972756174,2827.7218001368597,2813.7457141535583,2810.765793131698,2817.5800731174563,2834.1126813733713,2853.8211764707594,2874.9412444276254,2893.6707952629313,2902.879391143398,2898.695957409066,2881.9560138861657,2855.474370167745,2833.6620973361128,2824.813257189019,2829.7344189955597,2846.294239472733,2864.9517589589955,2889.3207577417365,2911.421599449856,2930.3882319686977,2944.9135801487723,2949.7251565574256,2942.24607081536,2923.0078714358324,2906.290571472911,2896.0216885567916,2902.9522155876884,2919.2853764822607,2942.5406362971084,2969.4788570942815,2994.5470300890265,3018.7977783787737,3033.350130264861,3036.6642651005,3028.121925274308,3006.852830774131,2994.2673442935848,2993.371735513426,3010.0639427763836,3025.3106747278134,3018.066809435449,2992.275036870119,2950.9081281239964,2907.560933188617,2843.7136961892747,,2697.985285216344,2649.51906129378,2622.6507367674894,2607.811486737233,2613.216722769344,2636.2903078532504,2680.0044194154034,2739.3783745586784,2813.7357640299724,2899.926640225121,2980.8159727679317,3048.7722379531233,3086.869199330958,3113.8890099168634,3132.1782243814496,3160.740590678113,3200.9429838326932,3248.413003257914,3303.981182155341,3370.808737226059,3443.652369237548,3502.8351883358746,3533.913792074651,3532.295779426232,3507.2049453228947,3462.2916019570207,3428.608911388551,3417.695002112714,3431.3000405767707,3457.78446630206,3499.7094758204985
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1956.8829352214807,1965.9552612271416,1983.0643846893931,1996.927656371324,2018.1985042954698,2035.5610357282517,2054.4043206381766,2058.2523025802666,2065.098855076775,2063.2590694579085,2081.2753546527783,2098.124137261163,2121.68331601423,2127.8440315601592,2143.2510972852574,2160.417777966234,2176.862970193544,2178.8051672806823,2179.8237558780033,2185.815111513374,2189.110243873766,2194.8590533388424,2207.0431792445625,2220.8372941033126,2240.05373337224,2252.1745843196372,2269.1492393645794,2277.9231841218084,2290.928607486402,2302.0531232888716,2309.0649189658,2313.934825647404,2317.6163428316854,2322.044035319945,2325.2047386852,2331.8564922653877,2344.471471960059,2357.469460240861,2370.280145881037,2385.855028661493,2400.447565076942,2417.194164111225,2424.9533348760406,2427.666818298574,2422.100553637949,2424.1543232586782,2431.9338516972853,2440.6182302361394,2449.7538988136525,2458.4843500818756,2470.1931731751056,2482.0727880057334,2493.987419232585,2504.7431222398586,2509.883076148373,2509.0754612735395,2504.4760674400627,2505.4151069012264,2510.2762631365613,2518.62183915841,2517.0439054947715,2500.796244591452,2475.750099937914,2456.6784836919583,2450.7759562749216,2442.0353772005005,2432.995650523735,2423.126349448751,2425.393439785812,2421.4064570753044,2418.66764576669,2413.4427110268152,2422.787810709341,2438.4622984133425,2463.3868117491143,2495.737661433972,2539.9882131098743,2595.532595673902,2637.6369107176542,2668.2239634513503,2685.794838379078,2707.7029912113126,2727.849527219267,2748.8900009398885,2770.9881099165927,2796.327704282762,2829.6283977927087,2853.0656687117284,2879.2166588563236,2894.2566295808324,2908.8891865482224,2901.40943405508,2892.7615801977167,2884.3687806483636,2882.661209830666,2884.7998247590417,2890.981192466468,2902.2209623017793
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1277.7709025681577,1283.6233019883318,1293.9592586626184,1306.0357149880256,1311.2340225710054,1317.003581136795,1313.466434614929,1308.1530089195933,1301.9861647903494,1300.9917961385395,1301.765508261255,1304.4999390689052,1307.7703367676104,1313.1902160156217,1315.7343202722473,1318.2175088378362,1318.6457842599257,1315.4729659130526,1310.3134763079588,1307.9904713233818,1303.4591214035765,1300.1822258095908,1294.649200553459,1300.333481495496,1308.0476979842463,1313.0811402494194,1317.1480107886873,1317.7037293281624,1318.7300642179705,1317.6674745568337,1319.6492586591087,1329.9386851202676,1340.6529594090255,1349.3913005718211,1349.9148158108833,1352.1370142757944,1355.2833885138166,1363.8693596958265,1369.0135834532268,1373.757909500895,1376.5204147625132,1375.6065509540836,1373.2651847395318,1370.7227896932995,1373.7250097050508,1373.7960586393565,1371.1845039552206,1366.4044764184027,1369.4278902609856,1373.6717395925666,1382.0226438886234,1388.4435045482933,1394.7272387221394,1397.1588282171251,1395.1972200529087,1393.1217600422021,1390.1218890700825,1392.872373748327,1393.80695980621,1396.5823479079058,1398.8495590992495,1392.2494244540721,1381.5358051891676,1370.1667645673242,1368.0614842321818,1368.6324278698696,1366.80403334196,1369.188355401596,1372.4281645891524,1373.8638368385862,1371.1931080326083,1367.561089556929,1373.2538287302646,1388.3106795465444,1414.6803038290668,1446.1938575488093,1476.31612799004,1502.3123410880219,1513.3026281490502,1521.8059940071028,1523.8193606611412,1531.1685754955126,1535.0465671089103,1542.5213296516292,1549.6866061796109,1558.0740566819925,1569.8716174774938,1582.8759964892479,1594.2302010537437,1601.7062923392602,1601.1126919178384,1596.7773178117682,1589.4732040848241,1585.4341101781304,1591.9624726645325,1601.8475682472176,1611.7040157633128,1616.9650762853923
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1586.5803448810645,1600.999999371643,1616.0001489686608,1626.7804571086845,1635.2506396951835,1640.2246783456042,1640.0795007219356,1631.1654703816287,1617.9201587759499,1610.4922459843815,1614.4584432777456,1628.207374645151,1642.5931068820018,1654.9197743247466,1665.1932800975849,1675.5832390247842,1685.3590107827376,1688.9352484107549,1680.3359747281972,1664.3670648767427,1647.19661872336,1640.6360660636205,1641.9311566082708,1658.794555070478,1678.0142742723735,1698.9448066090454,1710.982234384362,1718.7063783334036,1723.7008508201272,1721.222977031435,1711.786198341625,1698.0195078938364,1685.5443977933435,1681.100618624334,1683.5606266880452,1693.998973439863,1707.47968766801,1720.5972691959657,1734.7448243660517,1746.9397197904532,1755.1924536318536,1753.6720909603578,1746.1833723772154,1730.4212724675706,1719.9645847476293,1711.7013135675602,1716.1514120683894,1726.0547391652763,1742.5707566724918,1761.649667128901,1776.6449879477293,1790.724668031972,1798.1448444905477,1800.706261268059,1795.8229253228649,1787.5248929222005,1774.2496844716668,1764.9864595469876,1767.5070084978368,1780.564805962016,1797.0638411293182,1800.4265961055619,1799.1582534231009,1792.2211253594642,1788.226687664153,1775.183387862104,1750.2085291842511,1716.0223445697504,1684.938924443805,1665.4193774320747,1661.0435394148894,1668.9134891908536,1694.1753882603934,1731.206968982534,1774.4411964423377,1809.3839603070471,1831.7672721111458,1848.175812858682,1851.5057470844924,1849.9750902755902,1840.7135914769992,1844.3335053949152,1858.727289481065,1880.7508683291646,1906.3232171857908,1931.2402649634048,1959.4649976389871,1982.2996904805398,2002.3410681329644,2009.0990990618739,2008.0548319818602,2002.807750870232,1994.907250399492,1995.0024039419739,2001.1127121756952,2017.6731793584572,2035.2182745098778,2055.1153806394946
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1026.4347941616736,1034.2565778130106,1044.4370839945743,1051.866870630661,1055.7189040954006,1054.7919265784383,1052.9389165275168,1053.8815401996605,1058.7879812638873,1064.202375101936,1065.0660276990832,1066.095248387809,1072.086279667822,1080.7358389021545,1087.4666550623874,1088.5232852777344,1089.5404826186123,1091.0794298344003,1093.576789254035,1093.6474742317964,1096.0610309163553,1093.8425038744442,1096.1204641015609,1099.9566848523975,1106.9092945733207,1113.9259457120495,1116.6982603495724,1123.2759786858358,1128.8072724662866,1130.7524927994862,1128.8730236289282,1125.0045489584681,1123.7205195087456,1122.8804083851658,1121.76896201669,1122.3486561848083,1127.8739184720823,1134.9775752245696,1142.5243155231872,1147.4213922925342,1153.8336132517459,1160.197570405978,1163.52316481348,1163.8052567773623,1163.5988642641132,1160.1744201587737,1160.9778012803577,1162.5841846033209,1170.3389343368897,1174.8091396566667,1181.729076638911,1187.408242304446,1196.390735539553,1203.3211753489163,1208.2746758584315,1208.5201680723242,1200.3543033373926,1196.1424272555116,1194.6874053902582,1199.1024006505966,1200.1095959967972,1196.8792508581182,1194.3607331542232,1194.0602391643313,1199.3820221009978,1206.5239006793195,1211.4320860665273,1213.2934683378778,1213.1908116432687,1214.3769009251528,1217.4959332553447,1219.3432827906404,1227.9763721129625,1241.479421522024,1261.7650744531124,1285.2756278681393,1314.3905906143566,1349.415371731745,1377.2263771373919,1389.7163285040717,1390.6648676537839,1394.1240366880786,1397.9184214097725,1406.243409004824,1413.4091339965105,1429.7820505670738,1446.3881965055596,1462.052018636761,1476.502977942097,1480.1001428263057,1478.3789156147993,1468.8047250095583,1465.4386477178443,1460.6216967069101,1464.3381595455764,1461.7687609143381,1471.2917115299272,1472.2901494908328
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1354.5394395246362,1362.4720585393582,1377.5815019561735,1386.36666862711,1390.7385282031175,1396.0291463200433,1389.9736266123973,1386.5873548890054,1381.072488347494,1378.724801194992,1380.5862033209255,1384.030426330843,1401.7683135516043,1412.6200299640407,1422.394874140065,1426.7339820251284,1429.3047031801166,1429.0485199784634,1425.2559338028225,1422.204764663268,1424.3635911026913,1424.2941229969172,1423.094129287786,1428.6465368745771,1439.0999441421714,1452.2464364527789,1458.7978717819194,1463.7517902149195,1468.8024282974104,1470.2538173789658,1466.751435556931,1464.3240549537838,1460.2761056231495,1461.0116893145748,1460.399069682192,1466.786405760422,1478.180233011563,1492.2965471210885,1504.6996791871409,1511.1337012268868,1511.9916104370877,1511.9202534150454,1508.5421036638606,1509.4878623950663,1512.3925238070312,1513.533875757068,1516.5164583739725,1519.3031501061744,1532.552160761518,1543.3399183376637,1553.1550782831273,1562.537205121403,1570.5102760360728,1572.7335381417793,1569.4269646708904,1565.648044895368,1565.8911637950835,1565.463874960603,1566.5923622570506,1575.8246018871314,1584.1602243960467,1588.5264780499522,1584.030961156848,1582.6240679494174,1586.80924034822,1590.127623828165,1585.8752587498764,1576.9189420930704,1568.396438386876,1565.6122163677958,1566.2856940703714,1568.9937583179756,1578.1313683223832,1593.1344636052947,1615.7562868393445,1634.7148801464714,1653.4427133580787,1672.346366756553,1689.7685018948162,1699.8911042619304,1702.1971718785653,1710.5603996884565,1716.3189088168517,1725.2525383091381,1734.2970406428874,1752.8022503607278,1770.1831280876486,1785.433054887865,1795.0230510606366,1804.8455262658238,1804.2208837491141,1798.6698467008553,1792.523346831104,1788.4664344623768,1791.3920516884891,1793.5819829736604,1800.0558689602758,1808.2742988555829
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,933.7572890751829,949.617939589502,955.5379535794639,964.1128660028253,964.0179542147563,965.8390505696007,971.6033038127722,972.6339351817063,976.003078631423,974.4366321028184,977.3144819932922,982.834464329813,994.1479367698231,1006.9801509427773,1018.3298743593227,1022.8666023908295,1023.8265973111974,1023.433003582809,1024.0326425534495,1027.3555073016423,1027.519110379308,1028.3658995489523,1033.394565330011,1042.093491688928,1052.3647211836085,1063.2689987224344,1075.2156414536075,1085.4632961152015,1090.2840855245017,1092.2035041178144,1089.572531485045,1091.979638228867,1092.8939656352,1096.3063246674967,1096.3971840295035,1099.4911465387868,1112.2158957811732,1129.6658660034768,1145.1864970943452,1152.4450257999729,1157.5826975212356,1165.69653363911,1172.9664444617486,1178.7542038486026,1183.003042577342,1187.9288223540068,1190.370065135163,1200.281808168217,1211.21512547685,1227.7188954932358,1238.965034566338,1250.6853509418827,1258.4776159913995,1266.3688607658678,1270.3508615505298,1274.6758210441712,1277.2870421258744,1288.0617019679657,1294.4753279020808,1307.9829541625622,1311.0446717512382,1311.7883826412367,1307.9044657757088,1312.0420625335612,1322.156299741853,1334.2438427154466,1347.8779279342368,1361.6791528666008,1373.5230331388605,1380.1970708240117,1392.8708485291843,1401.6133876296592,1424.9225237028843,1455.3788067868059,1505.8363562464367,1554.3666714810759,1609.6976549991848,1656.619202037494,1695.6831982246003,1714.7674713023314,1731.586712435061,1743.6888907408697,1754.3015627729656,1758.1305083575144,1768.8418145049097,1782.9678148353953,1801.6713001184241,1812.748339178588,1820.602179396288,1817.783843343771,1810.3904952235605,1804.871198137084,1794.7979719868274,1791.4011446806032,1778.632151325093,1778.814464006056,1781.1518976573614,1794.687037139927
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1035.481617800252,1044.8800844334414,1050.9838230294065,1059.6058629344336,1064.671069157397,1070.8638724244433,1074.2470443606414,1073.5564424359436,1072.185363476114,1071.2633545916676,1072.9702925797749,1077.7173335590894,1083.6930647155093,1089.4956363089711,1097.1277317458785,1105.9359259167165,1112.527443085321,1115.9625027143754,1116.3151369043803,1118.4308694267618,1118.3875407478401,1117.9709521474006,1119.7443516053522,1127.283432547646,1137.7950216437255,1148.7105494771781,1157.2844502130718,1165.8072155879827,1173.7366290894686,1179.5892816434387,1183.1379249500922,1184.8671245523954,1186.5608432732831,1190.341731591057,1193.2365655094125,1201.340840856058,1209.1531405644923,1223.2900763201487,1235.4928019788813,1248.2363433096627,1257.7576084848433,1265.5837852538316,1269.3046258384652,1272.8903611638948,1274.5877100774003,1277.14162645835,1279.8809321786398,1284.850515942197,1295.5517279495205,1306.7208104252927,1319.3272393604145,1329.1030324252438,1337.3366757059866,1344.0173948373924,1345.032019068718,1344.9345644507976,1342.0695292931316,1343.4814601950854,1344.7952988078894,1350.946092847111,1357.3548065401592,1350.779182727733,1343.7136148546283,1341.8582135516815,1359.9742007260945,1379.960737687828,1398.4211550291295,1412.6747348812137,1423.5205424927497,1429.271145645209,1437.8774711076296,1450.1254409362339,1467.8206248559093,1494.1341278580887,1537.5645016215153,1595.8780914242118,1659.049713750293,1716.9342162810728,1757.271793952913,1776.1982749711435,1778.7822568064503,1781.4204329214692,1788.0981989366394,1797.5566731970914,1804.1559938762625,1816.8503916379507,1833.7433710047233,1854.3127180189335,1868.116271414209,1858.167576806271,1838.580705154318,1806.494842786112,1789.7079910918856,1774.157611599972,1775.2133800325755,1779.9453234953166,1791.4474845482328,1797.8417658642447
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1816.758942612546,1828.7554101789099,1832.7400869646551,1839.2154855998604,1851.4223344000902,1865.3884776225748,1877.8718534666473,1880.7492238572645,1889.0880962978601,1888.624550502389,1900.4578990374541,1903.6807246993415,1919.158300592279,1929.0891406960839,1941.9004329094328,1957.0927546092992,1964.9410696119442,1971.875642925716,1971.4914193470254,1977.803995552341,1980.2825313301882,1982.0845691621203,1987.4333737595605,2006.4284180892555,2022.679046846515,2037.1649355111488,2047.2153789739166,2063.2706056452166,2082.4855017629066,2092.979655104449,2097.4553413591393,2093.996246159329,2090.577273891807,2091.9854299196722,2102.4943114595962,2116.283603624963,2131.4896540230275,2141.17423291035,2157.5024938957067,2167.7134688980063,2184.466028975977,2197.1278669284075,2203.953602593679,2205.371798775796,2200.4921674252346,2202.0614244110047,2202.202233227161,2207.0991313524537,2214.6488868124616,2228.779191489943,2240.109461789132,2251.857443898541,2261.6974099593626,2276.8406289699897,2282.5279549898582,2288.7140118346033,2284.6986028720685,2284.879409480138,2284.0669713991424,2291.3605896187455,2299.294043581435,2286.389356524789,2272.848577987545,2265.4617001904517,2279.4891354374013,2289.589998198702,2298.4903651074283,2308.693271866229,2321.9346007224703,2330.070947626121,2339.3832004869346,2344.1631657394732,2366.2146926891014,2398.5120233642365,2448.2876331665207,2495.3421541922644,2551.457673648259,2614.237696594726,2678.7361928661853,2726.512594373358,2759.683037547183,2772.3018319920106,2772.243525720794,2791.461889792435,2830.011839851561,2887.343465733188,2931.3927477072953,2981.0536924697954,3022.7769357139227,3063.3620459886574,3074.914629451378,3070.7201095747364,3040.9969272328863,3015.9777313259565,3005.538756348505,3015.8081796598212,3041.3836829933343,3072.774331726852
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1133.4008970967889,1145.7108082506243,1163.2017892891413,1177.4030675884867,1186.1862906078577,1193.950263857532,1193.1871226981202,1195.4586646516418,1197.2193498406182,1201.0936815097668,1206.0137827540339,1208.7068007625608,1216.8122433796143,1224.0074435497693,1230.6345220037047,1241.5227290476894,1247.832676038566,1251.7396026020424,1253.3854577724885,1257.0591801919843,1263.5191855193864,1267.8977437288902,1268.7316577991191,1268.9624820472354,1274.1799720817273,1279.8206909017936,1294.08872500108,1303.650576774017,1311.4085399384219,1311.4318850414627,1308.635716056911,1308.0491271323365,1305.8383186075314,1305.6040897448559,1308.4672324552118,1318.7707723451497,1324.1561384133734,1330.9140200692982,1325.6888365531704,1333.929695603518,1335.071629782868,1346.4478440286691,1344.376269587042,1347.7015146653675,1347.7039294167341,1348.752130306491,1349.6643946140057,1355.0430830636333,1364.8373310702498,1372.9468792756998,1379.2508705160951,1393.0835215080554,1400.2721827874534,1403.9597228980392,1401.8683087396219,1399.2014121478162,1392.8382265090686,1384.8916136810158,1384.9715990229445,1392.5968447665402,1401.3062099403332,1399.3726452394758,1393.1519602844594,1386.8120557139969,1385.39969464554,1382.6199789523723,1379.2054534992092,1381.899359854728,1387.0113320492442,1389.7961522399467,1390.4665768696916,1396.3629867395282,1409.0438362520142,1430.8895764911304,1459.243348813359,1497.1290210105792,1536.563139848441,1568.7545443708443,1591.4882156874173,1599.4635820040446,1610.5917294900785,1616.3243046919424,1629.2371666532895,1641.6568214294903,1652.6175730536024,1677.2929564144856,1708.3759649949498,1754.1013836856114,1782.3270421068228,1791.0057935800248,1787.8490571525294,1768.8889895136892,1751.4186149940983,1729.2554646375636,1722.265084782992,1722.5800033305256,1729.975554543969,1739.518982282524
